,cvi,dataset,correlations
58,SIL,type=gaussian-k=50-n=10000-d=10-noise=0,"{'CH': 0.8647369646720201, 'DBI': 0.8846158102915815, 'SIL': 0.9923569657652991, 'DI': 0.9766700645999002, 'CJI': 0.9751878494355614, 'COP': 0.9471082110164307, 'DBCV': 0.893741325297999}"
59,COP,type=gaussian-k=50-n=10000-d=30-noise=0,"{'CH': 0.9902979281701478, 'DBI': 0.9842447034098891, 'SIL': 0.9934540389972145, 'DI': 0.948567056051885, 'CJI': 0.9501358056330543, 'COP': 0.9936456539518684, 'DBCV': 0.9857394211338404}"
60,CH,type=gaussian-k=50-n=10000-d=50-noise=0,"{'CH': 0.975696708841709, 'DBI': 0.8808903976734199, 'SIL': 0.9303879063724337, 'DI': 0.7791121749012175, 'CJI': 0.7763164469422899, 'COP': 0.9409235972963346, 'DBCV': 0.9208260870051775}"
61,DBCV,type=circles-k=2-n=10000-d=2-noise=0.0,"{'CH': -0.1535256767294196, 'DBI': 0.41773420964687535, 'SIL': 0.10656121198618693, 'DI': 0.43237884119060327, 'CJI': 0.02689109330048006, 'COP': 0.2780884482566559, 'DBCV': 0.3202257007457691}"
62,DBCV,type=circles-k=2-n=10000-d=2-noise=0.01,"{'CH': 0.027536026129620365, 'DBI': 0.05136050316965648, 'SIL': 0.056102564830655864, 'DI': 0.955717094848332, 'CJI': 0.05154507443191095, 'COP': 0.9528998369449829, 'DBCV': 0.841381442381529}"
63,DBCV,type=circles-k=2-n=10000-d=2-noise=0.05,"{'CH': -0.2273774959765142, 'DBI': -0.21796375223414666, 'SIL': 0.016587275271130377, 'DI': 0.9756444732718159, 'CJI': -0.15711408907471958, 'COP': 0.9674724421548092, 'DBCV': 0.8175804090611327}"
64,DBCV,type=circles-k=2-n=10000-d=2-noise=0.1,"{'CH': 0.5380180809713063, 'DBI': 0.7653841114556492, 'SIL': 0.6388173123116565, 'DI': 0.216840634144211, 'CJI': 0.6044023234484867, 'COP': 0.3406996549766345, 'DBCV': 0.32544427011482896}"
65,DBCV,type=moons-k=2-n=10000-d=2-noise=0.0,"{'CH': -0.3160752118644068, 'DBI': -0.302833686440678, 'SIL': -0.1974311440677966, 'DI': 0.22139830508474578, 'CJI': -0.2813824152542373, 'COP': 0.1371822033898305, 'DBCV': 0.3505496496491856}"
66,DBCV,type=moons-k=2-n=10000-d=2-noise=0.01,"{'CH': -0.2330733809826509, 'DBI': -0.20460782337710662, 'SIL': 0.1400486829253167, 'DI': 0.9273620888584, 'CJI': 0.34037737019178593, 'COP': 0.9051768244468906, 'DBCV': 0.9492608133153552}"
67,DBCV,type=moons-k=2-n=10000-d=2-noise=0.05,"{'CH': 0.2252700867477411, 'DBI': 0.16668094078825726, 'SIL': 0.7072785778141113, 'DI': 0.9922468610150756, 'CJI': 0.7123275380464543, 'COP': 0.9836500148940487, 'DBCV': 0.9914559194858941}"
